hour,weekday,month,is_weekend,is_rush_hour,rain_mm_per_hr,temperature_c,aqi,wind_kmh,visibility_m,zone_flood_risk,congestion,traffic_delay_min,road_closure,driver_speed,hist_avg_speed,speed_deviation,distance_remaining,risk_score,delay_level,parametric_trigger,income_loss_pct
19,1,6,0,1,34.88,36.2,54,16.7,6368.0,0.7,2,29,0,3.7,23.1,0.841,1.93,77.03,2,0,0.758
13,5,12,1,1,18.91,24.1,177,5.3,8474.0,0.82,1,13,0,18.4,20.6,0.108,11.39,71.42,2,0,0.618
7,6,10,1,1,135.36,29.2,94,43.6,50.0,0.55,3,37,0,0.0,19.0,1.0,2.29,94.77,3,1,0.902
18,0,8,0,1,28.73,32.2,53,12.8,6060.0,0.8,2,33,0,9.0,35.2,0.745,0.2,65.46,2,0,0.643
11,0,3,0,0,0.91,28.7,89,15.0,9788.0,0.68,0,5,0,31.6,19.6,0.613,2.56,20.51,0,0,0.235
15,5,3,1,0,0.08,34.0,84,2.6,10000.0,0.42,0,6,0,27.2,20.8,0.311,2.64,4.49,0,0,0.014
5,5,1,1,0,0.0,27.6,86,0.7,10000.0,0.72,0,0,0,24.2,27.5,0.122,0.57,19.57,0,0,0.144
16,6,11,1,0,95.38,25.7,99,23.0,50.0,0.6,2,27,0,0.0,23.3,1.0,5.67,96.72,3,1,0.79
10,5,8,1,1,12.73,31.7,58,6.6,8504.0,0.55,0,0,0,21.6,23.9,0.094,3.63,24.34,0,0,0.159
9,5,10,1,1,70.38,30.0,190,28.2,1358.0,0.85,3,42,0,0.0,24.3,1.0,1.23,100.0,3,1,0.865
23,0,1,0,0,5.71,28.8,107,5.6,9895.0,0.75,0,3,0,26.9,22.6,0.19,2.57,23.1,0,0,0.157
12,5,12,1,1,5.05,25.9,68,14.0,9588.0,0.8,1,13,0,16.1,20.3,0.207,0.34,48.83,1,0,0.426
17,3,11,0,1,35.63,28.3,150,7.8,5377.0,0.5,3,43,0,10.4,20.4,0.488,1.86,98.16,3,1,0.92
16,0,4,0,0,20.87,34.1,122,11.1,7834.0,0.8,0,6,0,6.3,18.9,0.666,0.28,45.94,1,0,0.423
5,1,3,0,0,4.37,34.5,91,10.6,8540.0,0.55,0,3,0,13.5,20.3,0.335,2.85,10.08,0,0,0.127
18,6,3,1,1,0.58,30.6,106,4.8,9542.0,0.44,1,18,0,17.4,22.3,0.22,0.61,20.14,0,0,0.159
9,5,5,1,1,22.18,36.1,146,7.2,7415.0,0.85,1,18,0,8.4,30.6,0.726,1.62,71.73,2,0,0.63
